Date;Name;value
2021-09-28;Greinberg Richtung Innenstadt;1525.0
2021-09-29;Greinberg Richtung Innenstadt;1808.0
2021-09-30;Greinberg Richtung Innenstadt;2064.0
2021-10-01;Greinberg Richtung Innenstadt;1830.0
2021-10-02;Greinberg Richtung Innenstadt;1226.0
2021-10-03;Greinberg Richtung Innenstadt;770.0
2021-10-04;Greinberg Richtung Innenstadt;1351.0
2021-10-05;Greinberg Richtung Innenstadt;1230.0
2021-10-06;Greinberg Richtung Innenstadt;1683.0
2021-10-07;Greinberg Richtung Innenstadt;1700.0
2021-10-08;Greinberg Richtung Innenstadt;1646.0
2021-10-09;Greinberg Richtung Innenstadt;1088.0
2021-10-10;Greinberg Richtung Innenstadt;879.0
2021-10-11;Greinberg Richtung Innenstadt;1553.0
2021-10-12;Greinberg Richtung Innenstadt;1166.0
2021-10-13;Greinberg Richtung Innenstadt;1508.0
2021-10-14;Greinberg Richtung Innenstadt;1531.0
2021-10-15;Greinberg Richtung Innenstadt;1515.0
2021-10-16;Greinberg Richtung Innenstadt;904.0
2021-10-17;Greinberg Richtung Innenstadt;725.0
2021-10-18;Greinberg Richtung Innenstadt;1649.0
2021-10-19;Greinberg Richtung Innenstadt;1357.0
2021-10-20;Greinberg Richtung Innenstadt;1752.0
2021-10-21;Greinberg Richtung Innenstadt;1024.0
2021-10-22;Greinberg Richtung Innenstadt;1456.0
2021-10-23;Greinberg Richtung Innenstadt;763.0
2021-10-24;Greinberg Richtung Innenstadt;698.0
2021-10-25;Greinberg Richtung Innenstadt;1557.0
2021-10-26;Greinberg Richtung Innenstadt;1586.0
2021-10-27;Greinberg Richtung Innenstadt;1606.0
2021-10-28;Greinberg Richtung Innenstadt;1546.0
2021-10-29;Greinberg Richtung Innenstadt;1362.0
2021-10-30;Greinberg Richtung Innenstadt;564.0
2021-10-31;Greinberg Richtung Innenstadt;843.0
2021-11-01;Greinberg Richtung Innenstadt;359.0
2021-11-02;Greinberg Richtung Innenstadt;1139.0
2021-11-03;Greinberg Richtung Innenstadt;991.0
2021-11-04;Greinberg Richtung Innenstadt;764.0
2021-11-05;Greinberg Richtung Innenstadt;1017.0
2021-11-06;Greinberg Richtung Innenstadt;704.0
2021-11-07;Greinberg Richtung Innenstadt;428.0
2021-11-08;Greinberg Richtung Innenstadt;1470.0
2021-11-09;Greinberg Richtung Innenstadt;1633.0
2021-11-10;Greinberg Richtung Innenstadt;1513.0
2021-11-11;Greinberg Richtung Innenstadt;1321.0
2021-11-12;Greinberg Richtung Innenstadt;1234.0
2021-11-13;Greinberg Richtung Innenstadt;475.0
2021-11-14;Greinberg Richtung Innenstadt;504.0
2021-11-15;Greinberg Richtung Innenstadt;1420.0
2021-11-16;Greinberg Richtung Innenstadt;1510.0
2021-11-17;Greinberg Richtung Innenstadt;1299.0
2021-11-18;Greinberg Richtung Innenstadt;1470.0
2021-11-19;Greinberg Richtung Innenstadt;1291.0
2021-11-20;Greinberg Richtung Innenstadt;695.0
2021-11-21;Greinberg Richtung Innenstadt;531.0
2021-11-22;Greinberg Richtung Innenstadt;1427.0
2021-11-23;Greinberg Richtung Innenstadt;1417.0
2021-11-24;Greinberg Richtung Innenstadt;1374.0
2021-11-25;Greinberg Richtung Innenstadt;1299.0
2021-11-26;Greinberg Richtung Innenstadt;1249.0
2021-11-27;Greinberg Richtung Innenstadt;479.0
2021-11-28;Greinberg Richtung Innenstadt;357.0
2021-11-29;Greinberg Richtung Innenstadt;1181.0
2021-11-30;Greinberg Richtung Innenstadt;810.0
2021-12-01;Greinberg Richtung Innenstadt;1160.0
2021-12-02;Greinberg Richtung Innenstadt;916.0
2021-12-03;Greinberg Richtung Innenstadt;1010.0
2021-12-04;Greinberg Richtung Innenstadt;298.0
2021-12-05;Greinberg Richtung Innenstadt;362.0
2021-12-06;Greinberg Richtung Innenstadt;1177.0
2021-12-07;Greinberg Richtung Innenstadt;1025.0
2021-12-08;Greinberg Richtung Innenstadt;909.0
2021-12-09;Greinberg Richtung Innenstadt;1154.0
2021-12-10;Greinberg Richtung Innenstadt;1027.0
2021-12-11;Greinberg Richtung Innenstadt;513.0
2021-12-12;Greinberg Richtung Innenstadt;409.0
2021-12-13;Greinberg Richtung Innenstadt;1139.0
2021-12-14;Greinberg Richtung Innenstadt;1167.0
2021-12-15;Greinberg Richtung Innenstadt;1275.0
2021-12-16;Greinberg Richtung Innenstadt;1312.0
2021-12-17;Greinberg Richtung Innenstadt;1200.0
2021-12-18;Greinberg Richtung Innenstadt;589.0
2021-12-19;Greinberg Richtung Innenstadt;413.0
2021-12-20;Greinberg Richtung Innenstadt;1296.0
2021-12-21;Greinberg Richtung Innenstadt;979.0
2021-12-22;Greinberg Richtung Innenstadt;891.0
2021-12-23;Greinberg Richtung Innenstadt;740.0
2021-12-24;Greinberg Richtung Innenstadt;238.0
2021-12-25;Greinberg Richtung Innenstadt;114.0
2021-12-26;Greinberg Richtung Innenstadt;170.0
2021-12-27;Greinberg Richtung Innenstadt;497.0
2021-12-28;Greinberg Richtung Innenstadt;394.0
2021-12-29;Greinberg Richtung Innenstadt;591.0
