date,value
2020-12-18,295
2020-12-19,221
2020-12-20,163
2020-12-21,391
2020-12-22,323
2020-12-23,202
2020-12-24,84
2020-12-25,71
2020-12-26,73
2020-12-27,95
2020-12-28,217
2020-12-29,199
2020-12-30,253
2020-12-31,132
2021-01-01,101
2021-01-02,177
2021-01-03,102
2021-01-04,295
2021-01-05,281
2021-01-06,132
2021-01-07,354
2021-01-08,290
2021-01-09,191
2021-01-10,164
2021-01-11,356
2021-01-12,275
2021-01-13,351
2021-01-14,397
2021-01-15,360
2021-01-16,186
2021-01-17,98
2021-01-18,374
2021-01-19,370
2021-01-20,418
2021-01-21,449
2021-01-22,386
2021-01-23,218
2021-01-24,93
2021-01-25,375
2021-01-26,302
2021-01-27,357
2021-01-28,333
2021-01-29,322
2021-01-30,117
2021-01-31,137
2021-02-01,368
2021-02-02,386
2021-02-03,361
2021-02-04,539
2021-02-05,374
2021-02-06,132
2021-02-07,143
2021-02-08,150
2021-02-09,140
2021-02-10,156
2021-02-11,192
2021-02-12,214
2021-02-13,67
2021-02-14,86
2021-02-15,226
2021-02-16,341
2021-02-17,360
2021-02-18,477
2021-02-19,468
2021-02-20,378
2021-02-21,432
2021-02-22,580
2021-02-23,610
2021-02-24,701
2021-02-25,686
2021-02-26,526
2021-02-27,329
2021-02-28,321
2021-03-01,639
2021-03-02,658
2021-03-03,673
2021-03-04,570
2021-03-05,472
2021-03-06,310
2021-03-07,282
2021-03-08,544
2021-03-09,565
2021-03-10,581
2021-03-11,475
2021-03-12,515
2021-03-13,205
2021-03-14,181
2021-03-15,501
2021-03-16,546
2021-03-17,643
2021-03-18,579
2021-03-19,486
2021-03-20,246
2021-03-21,193
2021-03-22,544
2021-03-23,560
2021-03-24,705
2021-03-25,776
2021-03-26,684
2021-03-27,269
2021-03-28,380
2021-03-29,714
2021-03-30,850
2021-03-31,859
2021-04-01,747
2021-04-02,344
2021-04-03,314
2021-04-04,247
2021-04-05,142
2021-04-06,361
2021-04-07,374
2021-04-08,506
2021-04-09,636
2021-04-10,332
2021-04-11,501
2021-04-12,652
2021-04-13,752
2021-04-14,630
2021-04-15,672
2021-04-16,610
2021-04-17,347
2021-04-18,311
2021-04-19,620
2021-04-20,874
2021-04-21,816
2021-04-22,854
2021-04-23,823
2021-04-24,593
2021-04-25,686
2021-04-26,809
2021-04-27,880
2021-04-28,964
2021-04-29,743
2021-04-30,651
2021-05-01,430
2021-05-02,345
2021-05-03,783
2021-05-04,612
2021-05-05,595
2021-05-06,511
2021-05-07,600
2021-05-08,543
2021-05-09,769
2021-05-10,917
2021-05-11,718
2021-05-12,639
2021-05-13,413
2021-05-14,803
2021-05-15,396
2021-05-16,322
2021-05-17,610
2021-05-18,725
2021-05-19,816
2021-05-20,869
2021-05-21,799
2021-05-22,480
2021-05-23,458
2021-05-24,699
2021-05-25,646
2021-05-26,576
2021-05-27,689
2021-05-28,778
2021-05-29,691
2021-05-30,815
2021-05-31,1021
2021-06-01,1156
2021-06-02,1144
2021-06-03,937
2021-06-04,800
2021-06-05,662
2021-06-06,389
2021-06-07,816
2021-06-08,944
2021-06-09,966
2021-06-10,1133
2021-06-11,1289
2021-06-12,791
2021-06-13,957
2021-06-14,1292
2021-06-15,1459
2021-06-16,1377
2021-06-17,1320
2021-06-18,1229
2021-06-19,862
2021-06-20,679
2021-06-21,1262
2021-06-22,1035
2021-06-23,1231
2021-06-24,780
2021-06-25,1035
2021-06-26,753
2021-06-27,827
2021-06-28,1230
2021-06-29,883
2021-06-30,922
2021-07-01,873
2021-07-02,1005
2021-07-03,828
2021-07-04,603
2021-07-05,1053
2021-07-06,1005
2021-07-07,1135
2021-07-08,1028
2021-07-09,415
2021-07-10,725
2021-07-11,438
2021-07-12,1247
2021-07-13,875
2021-07-14,846
2021-07-15,974
2021-07-16,1106
2021-07-17,646
2021-07-18,951
2021-07-19,1223
2021-07-20,1294
2021-07-21,1299
2021-07-22,1328
2021-07-23,1241
2021-07-24,677
2021-07-25,647
2021-07-26,1132
2021-07-27,1181
2021-07-28,1134
2021-07-29,1160
2021-07-30,1099
2021-07-31,774
2021-08-01,561
2021-08-02,853
2021-08-03,807
2021-08-04,871
2021-08-05,997
2021-08-06,730
2021-08-07,406
2021-08-08,555
2021-08-09,966
2021-08-10,1028
2021-08-11,958
2021-08-12,960
2021-08-13,847
2021-08-14,657
2021-08-15,614
2021-08-16,786
2021-08-17,775
2021-08-18,779
2021-08-19,778
2021-08-20,757
2021-08-21,634
2021-08-22,299
2021-08-23,595
2021-08-24,798
2021-08-25,915
2021-08-26,661
2021-08-27,535
2021-08-28,358
2021-08-29,189
2021-08-30,565
2021-08-31,810
2021-09-01,948
2021-09-02,939
2021-09-03,956
2021-09-04,738
2021-09-05,717
2021-09-06,953
2021-09-07,998
2021-09-08,1074
2021-09-09,952
2021-09-10,859
2021-09-11,431
2021-09-12,581
2021-09-13,978
2021-09-14,1105
2021-09-15,800
2021-09-16,902
2021-09-17,899
2021-09-18,600
2021-09-19,507
2021-09-20,898
2021-09-21,938
2021-09-22,1072
2021-09-23,1009
2021-09-24,954
2021-09-25,632
2021-09-26,581
2021-09-27,947
2021-09-28,982
2021-09-29,882
2021-09-30,938
2021-10-01,900
2021-10-02,651
2021-10-03,474
2021-10-04,712
2021-10-05,721
2021-10-06,886
2021-10-07,890
2021-10-08,816
2021-10-09,540
2021-10-10,485
2021-10-11,809
2021-10-12,650
2021-10-13,789
2021-10-14,799
2021-10-15,791
2021-10-16,486
2021-10-17,460
2021-10-18,901
2021-10-19,736
2021-10-20,957
2021-10-21,646
2021-10-22,784
2021-10-23,415
2021-10-24,387
2021-10-25,864
2021-10-26,893
2021-10-27,882
2021-10-28,836
2021-10-29,786
2021-10-30,340
2021-10-31,374
2021-11-01,257
2021-11-02,687
2021-11-03,624
2021-11-04,500
2021-11-05,596
2021-11-06,345
2021-11-07,292
2021-11-08,842
2021-11-09,879
2021-11-10,866
2021-11-11,769
2021-11-12,722
2021-11-13,269
2021-11-14,327
2021-11-15,819
2021-11-16,725
2021-11-17,711
2021-11-18,827
2021-11-19,707
2021-11-20,388
2021-11-21,295
2021-11-22,795
2021-11-23,783
2021-11-24,742
2021-11-25,705
2021-11-26,662
2021-11-27,268
2021-11-28,235
2021-11-29,652
2021-11-30,486
2021-12-01,590
2021-12-02,536
2021-12-03,587
2021-12-04,177
2021-12-05,237
2021-12-06,586
2021-12-07,596
2021-12-08,529
2021-12-09,625
2021-12-10,585
2021-12-11,272
2021-12-12,242
2021-12-13,607
2021-12-14,651
2021-12-15,671
2021-12-16,662
2021-12-17,615
2021-12-18,310
2021-12-19,250
2021-12-20,598
2021-12-21,524
2021-12-22,465
2021-12-23,324
2021-12-24,114
2021-12-25,60
2021-12-26,71
2021-12-27,210
2021-12-28,174
2021-12-29,224
2021-12-30,261
2021-12-31,274
2022-01-01,169
2022-01-02,211
2022-01-03,253
2022-01-04,210
2022-01-05,327
2022-01-06,218
2022-01-07,305
2022-01-08,237
2022-01-09,177
2022-01-10,582
2022-01-11,647
2022-01-12,653
2022-01-13,661
2022-01-14,594
2022-01-15,283
2022-01-16,237
2022-01-17,632
2022-01-18,661
2022-01-19,666
2022-01-20,616
2022-01-21,503
2022-01-22,312
2022-01-23,264
2022-01-24,613
2022-01-25,680
2022-01-26,606
2022-01-27,594
2022-01-28,558
2022-01-29,283
2022-01-30,265
2022-01-31,444
2022-02-01,549
2022-02-02,604
2022-02-03,633
2022-02-04,524
2022-02-05,324
2022-02-06,116
2022-02-07,618
2022-02-08,647
2022-02-09,755
2022-02-10,640
2022-02-11,544
2022-02-12,340
2022-02-13,325
2022-02-14,665
2022-02-15,651
2022-02-16,518
2022-02-17,479
2022-02-18,493
2022-02-19,336
2022-02-20,190
2022-02-21,460
2022-02-22,582
2022-02-23,692
2022-02-24,602
2022-02-25,510
2022-02-26,346
2022-02-27,283
2022-02-28,509
