,ArtikelNr,Menge,AuftragPosNr,AuftragsNr,PositionsNr,Einheit,PreisProEinheit,RabattProzent,ZeilenNettoWert,StatusPosition,LieferdatumPositionTag,LieferdatumPositionMonat,LieferdatumPositionJahr
0,C011414575,312.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,10,2007
1,C011414575,234.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,11,2007
2,C011414575,102.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,12,2007
3,C011414575,42.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,12,2007
4,C011414575,24.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,12,2007
5,C011414575,156.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,01,2008
6,C011414575,78.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,02,2008
7,C011414575,167.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,03,2008
8,C011414575,46.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,03,2008
9,C011414575,21.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,03,2008
10,C011414575,138.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,04,2008
11,C011414575,17.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,05,2008
12,C011414575,115.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,05,2008
13,C011414575,24.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,05,2008
14,C011414575,234.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,06,2008
15,C011414575,234.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,07,2008
16,C011414575,312.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,09,2008
17,C011414575,24.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,10,2008
18,C011414575,43.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,10,2008
19,C011414575,11.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,10,2008
20,C011414575,390.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,11,2008
21,C011414575,234.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,12,2008
22,C011414575,103.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,01,2009
23,C011414575,14.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,01,2009
24,C011414575,39.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,01,2009
25,C011414575,83.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,02,2009
26,C011414575,183.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,02,2009
27,C011414575,46.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,02,2009
28,C011414575,234.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,03,2009
29,C011414575,172.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,04,2009
30,C011414575,62.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,04,2009
31,C011414575,171.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,05,2009
32,C011414575,63.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,05,2009
33,C011414575,231.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,06,2009
34,C011414575,81.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,06,2009
35,C011414575,85.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,07,2009
36,C011414575,227.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,07,2009
37,C011414575,156.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,08,2009
38,C011414575,114.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,09,2009
39,C011414575,42.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,09,2009
40,C011414575,234.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,10,2009
41,C011414575,234.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,11,2009
42,C011414575,82.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,12,2009
43,C011414575,20.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,12,2009
44,C011414575,234.0,A100006-03,A100006,3,STK,1249.99,0.0,1249.99,Teilgeliefert,01,01,2010
