Date,Sales
2021-03-01,25831
2021-04-01,27103
2021-05-01,26572
2021-06-01,27719
2021-07-01,27278
2021-08-01,26818
2021-09-01,24406
2021-10-01,20851
2021-11-01,21495
2021-12-01,23499
2022-01-01,19387
2022-02-01,22623
2022-03-01,26982
2022-04-01,30881
2022-05-01,30222
2022-06-01,32358
2022-07-01,28843
2022-08-01,25642
2022-09-01,26410
2022-10-01,21140
2022-11-01,22239
2022-12-01,24070
2023-01-01,22071
2023-02-01,26413
2023-03-01,27599
2023-04-01,34427
2023-05-01,30544
2023-06-01,33556
2023-07-01,32731
2023-08-01,28603
2023-09-01,25396
2023-10-01,24185
2023-11-01,22360
2023-12-01,24522
2024-01-01,22586
2024-02-01,24212
2024-03-01,27838
2024-04-01,29282
2024-05-01,35121
2024-06-01,35026
2024-07-01,33054
2024-08-01,35009
2024-09-01,30527
2024-10-01,23156
2024-11-01,24596
2024-12-01,28251
2025-01-01,23305
2025-02-01,27045
2025-03-01,30798
2025-04-01,35333
2025-05-01,34274
2025-06-01,37926
2025-07-01,35028
2025-08-01,30728
2025-09-01,26799
2025-10-01,30915
2025-11-01,28151
2025-12-01,30195
2026-01-01,28373
2026-02-01,31807
2026-03-01,31929
2026-04-01,37941
2026-05-01,38247
2026-06-01,36010
2026-07-01,35024
2026-08-01,35507
2026-09-01,31964
2026-10-01,27668
2026-11-01,28947
2026-12-01,29156
2027-01-01,25196
2027-02-01,31783
2027-03-01,33870
2027-04-01,38894
