index,date,value,name
0,2010-01-01,5.7,Temperatur (täglicher Maximalwert; Würzburg)
1,2010-01-02,-1.5,Temperatur (täglicher Maximalwert; Würzburg)
2,2010-01-03,-0.5,Temperatur (täglicher Maximalwert; Würzburg)
3,2010-01-04,-2.2,Temperatur (täglicher Maximalwert; Würzburg)
4,2010-01-05,-4.5,Temperatur (täglicher Maximalwert; Würzburg)
5,2010-01-06,-4.4,Temperatur (täglicher Maximalwert; Würzburg)
6,2010-01-07,-3.5,Temperatur (täglicher Maximalwert; Würzburg)
7,2010-01-08,-2.5,Temperatur (täglicher Maximalwert; Würzburg)
8,2010-01-09,-2.6,Temperatur (täglicher Maximalwert; Würzburg)
9,2010-01-10,-2.1,Temperatur (täglicher Maximalwert; Würzburg)
10,2010-01-11,-2.6,Temperatur (täglicher Maximalwert; Würzburg)
11,2010-01-12,-2.6,Temperatur (täglicher Maximalwert; Würzburg)
12,2010-01-13,-3.5,Temperatur (täglicher Maximalwert; Würzburg)
13,2010-01-14,-0.1,Temperatur (täglicher Maximalwert; Würzburg)
14,2010-01-15,-0.9,Temperatur (täglicher Maximalwert; Würzburg)
15,2010-01-16,-1.3,Temperatur (täglicher Maximalwert; Würzburg)
16,2010-01-17,4.2,Temperatur (täglicher Maximalwert; Würzburg)
17,2010-01-18,4.0,Temperatur (täglicher Maximalwert; Würzburg)
18,2010-01-19,2.1,Temperatur (täglicher Maximalwert; Würzburg)
19,2010-01-20,2.3,Temperatur (täglicher Maximalwert; Würzburg)
20,2010-01-21,1.3,Temperatur (täglicher Maximalwert; Würzburg)
21,2010-01-22,-0.7,Temperatur (täglicher Maximalwert; Würzburg)
22,2010-01-23,-1.9,Temperatur (täglicher Maximalwert; Würzburg)
23,2010-01-24,-2.3,Temperatur (täglicher Maximalwert; Würzburg)
24,2010-01-25,-2.2,Temperatur (täglicher Maximalwert; Würzburg)
25,2010-01-26,-2.8,Temperatur (täglicher Maximalwert; Würzburg)
26,2010-01-27,-4.3,Temperatur (täglicher Maximalwert; Würzburg)
27,2010-01-28,1.3,Temperatur (täglicher Maximalwert; Würzburg)
28,2010-01-29,1.1,Temperatur (täglicher Maximalwert; Würzburg)
29,2010-01-30,0.6,Temperatur (täglicher Maximalwert; Würzburg)
30,2010-01-31,-0.1,Temperatur (täglicher Maximalwert; Würzburg)
31,2010-02-01,-0.4,Temperatur (täglicher Maximalwert; Würzburg)
32,2010-02-02,1.9,Temperatur (täglicher Maximalwert; Würzburg)
33,2010-02-03,2.8,Temperatur (täglicher Maximalwert; Würzburg)
34,2010-02-04,6.3,Temperatur (täglicher Maximalwert; Würzburg)
35,2010-02-05,1.7,Temperatur (täglicher Maximalwert; Würzburg)
36,2010-02-06,2.6,Temperatur (täglicher Maximalwert; Würzburg)
37,2010-02-07,4.1,Temperatur (täglicher Maximalwert; Würzburg)
38,2010-02-08,-3.7,Temperatur (täglicher Maximalwert; Würzburg)
39,2010-02-09,-4.8,Temperatur (täglicher Maximalwert; Würzburg)
40,2010-02-10,-4.2,Temperatur (täglicher Maximalwert; Würzburg)
41,2010-02-11,-1.4,Temperatur (täglicher Maximalwert; Würzburg)
42,2010-02-12,-0.4,Temperatur (täglicher Maximalwert; Würzburg)
43,2010-02-13,-1.1,Temperatur (täglicher Maximalwert; Würzburg)
44,2010-02-14,-2.5,Temperatur (täglicher Maximalwert; Würzburg)
45,2010-02-15,-1.1,Temperatur (täglicher Maximalwert; Würzburg)
46,2010-02-16,-1.5,Temperatur (täglicher Maximalwert; Würzburg)
47,2010-02-17,1.6,Temperatur (täglicher Maximalwert; Würzburg)
48,2010-02-18,5.4,Temperatur (täglicher Maximalwert; Würzburg)
49,2010-02-19,3.9,Temperatur (täglicher Maximalwert; Würzburg)
50,2010-02-20,5.0,Temperatur (täglicher Maximalwert; Würzburg)
51,2010-02-21,4.3,Temperatur (täglicher Maximalwert; Würzburg)
52,2010-02-22,7.8,Temperatur (täglicher Maximalwert; Würzburg)
