date,value
2020-12-18,295
2020-12-19,223
2020-12-20,161
2020-12-21,391
2020-12-22,323
2020-12-23,202
2020-12-24,84
2020-12-25,71
2020-12-26,73
2020-12-27,95
2020-12-28,217
2020-12-29,199
2020-12-30,253
2020-12-31,132
2021-01-01,101
2021-01-02,177
2021-01-03,102
2021-01-04,295
2021-01-05,281
2021-01-06,132
2021-01-07,354
2021-01-08,290
2021-01-09,191
2021-01-10,165
2021-01-11,355
2021-01-12,275
2021-01-13,352
2021-01-14,397
2021-01-15,359
2021-01-16,186
2021-01-17,98
2021-01-18,374
2021-01-19,370
2021-01-20,418
2021-01-21,449
2021-01-22,386
2021-01-23,218
2021-01-24,93
2021-01-25,375
2021-01-26,302
2021-01-27,357
2021-01-28,336
2021-01-29,319
2021-01-30,117
2021-01-31,137
2021-02-01,369
2021-02-02,386
2021-02-03,361
2021-02-04,538
2021-02-05,374
2021-02-06,132
2021-02-07,143
2021-02-08,150
2021-02-09,140
2021-02-10,156
2021-02-11,192
2021-02-12,214
2021-02-13,67
2021-02-14,86
2021-02-15,226
2021-02-16,341
2021-02-17,360
2021-02-18,478
2021-02-19,470
2021-02-20,378
2021-02-21,430
2021-02-22,580
2021-02-23,609
2021-02-24,703
2021-02-25,687
2021-02-26,525
2021-02-27,328
2021-02-28,322
2021-03-01,641
2021-03-02,655
2021-03-03,677
2021-03-04,567
2021-03-05,472
2021-03-06,311
2021-03-07,280
2021-03-08,544
2021-03-09,567
2021-03-10,581
2021-03-11,472
2021-03-12,519
2021-03-13,205
2021-03-14,179
2021-03-15,501
2021-03-16,546
2021-03-17,643
2021-03-18,582
2021-03-19,484
2021-03-20,246
2021-03-21,192
2021-03-22,545
2021-03-23,561
2021-03-24,702
2021-03-25,778
2021-03-26,691
2021-03-27,264
2021-03-28,378
2021-03-29,714
2021-03-30,849
2021-03-31,862
2021-04-01,745
2021-04-02,344
2021-04-03,315
2021-04-04,246
2021-04-05,140
2021-04-06,363
2021-04-07,378
2021-04-08,504
2021-04-09,633
2021-04-10,339
2021-04-11,495
2021-04-12,655
2021-04-13,749
2021-04-14,630
2021-04-15,671
2021-04-16,608
2021-04-17,347
2021-04-18,313
2021-04-19,620
2021-04-20,875
2021-04-21,815
2021-04-22,855
2021-04-23,821
2021-04-24,592
2021-04-25,688
2021-04-26,810
2021-04-27,879
2021-04-28,965
2021-04-29,743
2021-04-30,649
2021-05-01,430
2021-05-02,346
2021-05-03,783
2021-05-04,611
2021-05-05,596
2021-05-06,510
2021-05-07,601
2021-05-08,545
2021-05-09,765
2021-05-10,919
2021-05-11,718
2021-05-12,646
2021-05-13,410
2021-05-14,803
2021-05-15,404
2021-05-16,312
2021-05-17,609
2021-05-18,727
2021-05-19,816
2021-05-20,871
2021-05-21,797
2021-05-22,485
2021-05-23,461
2021-05-24,697
2021-05-25,642
2021-05-26,570
2021-05-27,697
2021-05-28,779
2021-05-29,696
2021-05-30,807
2021-05-31,1029
2021-06-01,1156
2021-06-02,1158
2021-06-03,924
2021-06-04,798
2021-06-05,662
2021-06-06,375
2021-06-07,829
2021-06-08,938
2021-06-09,975
2021-06-10,1142
2021-06-11,1318
2021-06-12,779
2021-06-13,919
2021-06-14,1303
2021-06-15,1464
2021-06-16,1388
2021-06-17,1328
2021-06-18,1243
2021-06-19,850
2021-06-20,639
2021-06-21,1285
2021-06-22,1026
2021-06-23,1235
2021-06-24,761
2021-06-25,1058
2021-06-26,772
2021-06-27,795
2021-06-28,1224
2021-06-29,883
2021-06-30,929
2021-07-01,866
2021-07-02,1044
2021-07-03,824
2021-07-04,570
2021-07-05,1058
2021-07-06,1007
2021-07-07,1135
2021-07-08,1030
2021-07-09,414
2021-07-10,748
2021-07-11,420
2021-07-12,1241
2021-07-13,865
2021-07-14,851
2021-07-15,978
2021-07-16,1127
2021-07-17,652
2021-07-18,926
2021-07-19,1222
2021-07-20,1301
2021-07-21,1301
2021-07-22,1331
2021-07-23,1250
2021-07-24,670
2021-07-25,638
2021-07-26,1131
2021-07-27,1174
2021-07-28,1152
2021-07-29,1167
2021-07-30,1098
2021-07-31,765
2021-08-01,542
2021-08-02,858
2021-08-03,803
2021-08-04,877
2021-08-05,994
2021-08-06,739
2021-08-07,399
2021-08-08,546
2021-08-09,981
2021-08-10,1026
2021-08-11,952
2021-08-12,971
2021-08-13,854
2021-08-14,653
2021-08-15,595
2021-08-16,786
2021-08-17,778
2021-08-18,775
2021-08-19,780
2021-08-20,771
2021-08-21,649
2021-08-22,265
2021-08-23,603
2021-08-24,797
2021-08-25,915
2021-08-26,664
2021-08-27,529
2021-08-28,360
2021-08-29,186
2021-08-30,568
2021-08-31,807
2021-09-01,950
2021-09-02,943
2021-09-03,977
2021-09-04,732
2021-09-05,701
2021-09-06,950
2021-09-07,1003
2021-09-08,1070
2021-09-09,958
2021-09-10,856
2021-09-11,432
2021-09-12,575
2021-09-13,982
2021-09-14,1104
2021-09-15,800
2021-09-16,901
2021-09-17,908
2021-09-18,597
2021-09-19,501
2021-09-20,897
2021-09-21,938
2021-09-22,1073
2021-09-23,1008
2021-09-24,958
2021-09-25,635
2021-09-26,573
2021-09-27,945
2021-09-28,986
2021-09-29,889
2021-09-30,933
2021-10-01,901
2021-10-02,661
2021-10-03,461
2021-10-04,709
2021-10-05,727
2021-10-06,886
2021-10-07,882
2021-10-08,836
2021-10-09,534
2021-10-10,473
2021-10-11,810
2021-10-12,649
2021-10-13,793
2021-10-14,806
2021-10-15,781
2021-10-16,497
2021-10-17,448
2021-10-18,905
2021-10-19,736
2021-10-20,958
2021-10-21,645
2021-10-22,789
2021-10-23,420
2021-10-24,373
2021-10-25,864
2021-10-26,894
2021-10-27,881
2021-10-28,835
2021-10-29,798
2021-10-30,332
2021-10-31,373
2021-11-01,251
2021-11-02,689
2021-11-03,623
2021-11-04,501
2021-11-05,600
2021-11-06,345
2021-11-07,290
2021-11-08,841
2021-11-09,878
2021-11-10,868
2021-11-11,766
2021-11-12,731
2021-11-13,261
2021-11-14,327
2021-11-15,820
2021-11-16,729
2021-11-17,709
2021-11-18,825
2021-11-19,708
2021-11-20,390
2021-11-21,289
2021-11-22,796
2021-11-23,785
2021-11-24,743
2021-11-25,707
2021-11-26,658
2021-11-27,271
2021-11-28,232
2021-11-29,654
2021-11-30,482
2021-12-01,594
2021-12-02,533
2021-12-03,591
2021-12-04,176
2021-12-05,235
2021-12-06,586
2021-12-07,596
2021-12-08,527
2021-12-09,627
2021-12-10,584
2021-12-11,280
2021-12-12,236
2021-12-13,606
