DATE;MATERIAL;CUSTOMER;REGION;DEMAND
01.10.2007;C011414575;customer2;North America;312.0
01.11.2007;C011414575;customer2;North America;234.0
01.12.2007;C011414575;customer2;North America;102.0
01.12.2007;C011414575;customer4;Europe;42.0
01.12.2007;C011414575;customer3;North America;24.0
01.01.2008;C011414575;customer2;North America;156.0
01.02.2008;C011414575;customer4;Europe;78.0
01.03.2008;C011414575;customer2;North America;167.0
01.03.2008;C011414575;customer4;Europe;46.0
01.03.2008;C011414575;customer1;Europe;21.0
01.04.2008;C011414575;customer2;North America;138.0
01.05.2008;C011414575;customer1;Europe;17.0
01.05.2008;C011414575;customer2;North America;115.0
01.05.2008;C011414575;customer3;North America;24.0
01.06.2008;C011414575;customer2;North America;234.0
01.07.2008;C011414575;customer1;Europe;234.0
01.09.2008;C011414575;customer2;North America;312.0
01.10.2008;C011414575;customer4;Europe;24.0
01.10.2008;C011414575;customer2;North America;43.0
01.10.2008;C011414575;customer3;North America;11.0
01.11.2008;C011414575;customer2;North America;390.0
01.12.2008;C011414575;customer2;North America;234.0
01.01.2009;C011414575;customer2;North America;103.0
01.01.2009;C011414575;customer1;Europe;14.0
01.01.2009;C011414575;customer4;Europe;39.0
01.02.2009;C011414575;customer4;Europe;83.0
01.02.2009;C011414575;customer2;North America;183.0
01.02.2009;C011414575;customer3;North America;46.0
01.03.2009;C011414575;customer2;North America;234.0
01.04.2009;C011414575;customer2;North America;172.0
01.04.2009;C011414575;customer4;Europe;62.0
01.05.2009;C011414575;customer2;North America;171.0
01.05.2009;C011414575;customer4;Europe;63.0
01.06.2009;C011414575;customer2;North America;231.0
01.06.2009;C011414575;customer4;Europe;81.0
01.07.2009;C011414575;customer4;Europe;85.0
01.07.2009;C011414575;customer2;North America;227.0
01.08.2009;C011414575;customer2;North America;156.0
01.09.2009;C011414575;customer2;North America;114.0
01.09.2009;C011414575;customer4;Europe;42.0
01.10.2009;C011414575;customer2;North America;234.0
01.11.2009;C011414575;customer2;North America;234.0
01.12.2009;C011414575;customer2;North America;82.0
01.12.2009;C011414575;customer3;North America;20.0
01.01.2010;C011414575;customer2;North America;234.0
01.01.2010;C011414575;customer4;Europe;103.0
01.01.2010;C011414575;customer3;North America;53.0
01.02.2010;C011414575;customer4;Europe;78.0
01.03.2010;C011414575;customer2;North America;78.0
01.04.2010;C011414575;customer2;North America;110.0
01.04.2010;C011414575;customer4;Europe;32.0
01.04.2010;C011414575;customer1;Europe;14.0
01.05.2010;C011414575;customer2;North America;234.0
01.06.2010;C011414575;customer2;North America;307.0
01.06.2010;C011414575;customer3;North America;83.0
01.07.2010;C011414575;customer2;North America;156.0
01.08.2010;C011414575;customer2;North America;156.0
01.09.2010;C011414575;customer2;North America;170.0
01.09.2010;C011414575;customer4;Europe;64.0
01.10.2010;C011414575;customer2;North America;156.0
01.11.2010;C011414575;customer2;North America;234.0
01.12.2010;C011414575;customer4;Europe;46.0
01.12.2010;C011414575;customer2;North America;110.0
01.01.2011;C011414575;customer2;North America;204.0
01.01.2011;C011414575;customer1;Europe;30.0
01.02.2011;C011414575;customer4;Europe;234.0
01.04.2011;C011414575;customer2;North America;180.0
01.04.2011;C011414575;customer4;Europe;54.0
01.05.2011;C011414575;customer2;North America;179.0
01.05.2011;C011414575;customer3;North America;55.0
