Date;Indicator;Values
2000-01-01;Europe..Business.confidence.index;101.5
2000-01-01;Europe..Consumer.confidence.index;102.8
2000-01-01;Germany..Business.confidence.index;100.3
2000-01-01;Germany..Composite.leading.indicator;101.4
2000-01-01;Germany..Consumer.confidence.index;100.6
2000-01-01;Global..Business.confidence.index;100.8
2000-01-01;Global..Consumer.confidence.index;102.3
2000-02-01;Europe..Business.confidence.index;101.7
2000-02-01;Europe..Consumer.confidence.index;102.8
2000-02-01;Germany..Business.confidence.index;100.5
2000-02-01;Germany..Composite.leading.indicator;101.6
2000-02-01;Germany..Consumer.confidence.index;100.7
2000-02-01;Global..Business.confidence.index;100.8
2000-02-01;Global..Consumer.confidence.index;102.4
2000-03-01;Europe..Business.confidence.index;102.0
2000-03-01;Europe..Consumer.confidence.index;102.8
2000-03-01;Germany..Business.confidence.index;100.6
2000-03-01;Germany..Composite.leading.indicator;101.8
2000-03-01;Germany..Consumer.confidence.index;100.7
2000-03-01;Global..Business.confidence.index;100.9
2000-03-01;Global..Consumer.confidence.index;102.3
2000-04-01;Europe..Business.confidence.index;102.2
2000-04-01;Europe..Consumer.confidence.index;102.8
2000-04-01;Germany..Business.confidence.index;100.7
2000-04-01;Germany..Composite.leading.indicator;102.0
2000-04-01;Germany..Consumer.confidence.index;100.8
2000-04-01;Global..Business.confidence.index;100.9
2000-04-01;Global..Consumer.confidence.index;102.3
2000-05-01;Europe..Business.confidence.index;102.3
2000-05-01;Europe..Consumer.confidence.index;102.7
2000-05-01;Germany..Business.confidence.index;100.8
2000-05-01;Germany..Composite.leading.indicator;102.1
2000-05-01;Germany..Consumer.confidence.index;100.9
2000-05-01;Global..Business.confidence.index;100.8
2000-05-01;Global..Consumer.confidence.index;102.3
2000-06-01;Europe..Business.confidence.index;102.3
2000-06-01;Europe..Consumer.confidence.index;102.6
2000-06-01;Germany..Business.confidence.index;100.9
2000-06-01;Germany..Composite.leading.indicator;102.2
2000-06-01;Germany..Consumer.confidence.index;100.8
2000-06-01;Global..Business.confidence.index;100.8
2000-06-01;Global..Consumer.confidence.index;102.2
2000-07-01;Europe..Business.confidence.index;102.3
2000-07-01;Europe..Consumer.confidence.index;102.6
2000-07-01;Germany..Business.confidence.index;100.9
2000-07-01;Germany..Composite.leading.indicator;102.3
